name,url,year,prize,desc
James E. Meade,https://www.nobelprize.org/prizes/economic-sciences/1977/meade/facts/,1977,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their pathbreaking contribution to the theory of international trade and international capital movements”
Burton Richter,https://www.nobelprize.org/prizes/physics/1976/richter/facts/,1976,The Nobel Prize in Physics,“for their pioneering work in the discovery of a heavy elementary particle of a new kind”
Samuel C.C. Ting,https://www.nobelprize.org/prizes/physics/1976/ting/facts/,1976,The Nobel Prize in Physics,“for their pioneering work in the discovery of a heavy elementary particle of a new kind”
William Lipscomb,https://www.nobelprize.org/prizes/chemistry/1976/lipscomb/facts/,1976,The Nobel Prize in Chemistry,“for his studies on the structure of boranes illuminating problems of chemical bonding”
Baruch S. Blumberg,https://www.nobelprize.org/prizes/medicine/1976/blumberg/facts/,1976,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases”
D. Carleton Gajdusek,https://www.nobelprize.org/prizes/medicine/1976/gajdusek/facts/,1976,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases”
Saul Bellow,https://www.nobelprize.org/prizes/literature/1976/bellow/facts/,1976,The Nobel Prize in Literature,“for the human understanding and subtle analysis of contemporary culture that are combined in his work”
Betty Williams,https://www.nobelprize.org/prizes/peace/1976/williams/facts/,1976,The Nobel Peace Prize,“for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland”
Mairead Corrigan,https://www.nobelprize.org/prizes/peace/1976/corrigan/facts/,1976,The Nobel Peace Prize,“for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland”
Milton Friedman,https://www.nobelprize.org/prizes/economic-sciences/1976/friedman/facts/,1976,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy”"
Aage N. Bohr,https://www.nobelprize.org/prizes/physics/1975/bohr/facts/,1975,The Nobel Prize in Physics,“for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection”
Ben R. Mottelson,https://www.nobelprize.org/prizes/physics/1975/mottelson/facts/,1975,The Nobel Prize in Physics,“for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection”
James Rainwater,https://www.nobelprize.org/prizes/physics/1975/rainwater/facts/,1975,The Nobel Prize in Physics,“for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection”
John Cornforth,https://www.nobelprize.org/prizes/chemistry/1975/cornforth/facts/,1975,The Nobel Prize in Chemistry,“for his work on the stereochemistry of enzyme-catalyzed reactions”
Vladimir Prelog,https://www.nobelprize.org/prizes/chemistry/1975/prelog/facts/,1975,The Nobel Prize in Chemistry,“for his work on the stereochemistry of enzyme-catalyzed reactions”
David Baltimore,https://www.nobelprize.org/prizes/medicine/1975/baltimore/facts/,1975,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell”
Renato Dulbecco,https://www.nobelprize.org/prizes/medicine/1975/dulbecco/facts/,1975,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell”
Howard M. Temin,https://www.nobelprize.org/prizes/medicine/1975/temin/facts/,1975,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell”
Eugenio Montale,https://www.nobelprize.org/prizes/literature/1975/montale/facts/,1975,The Nobel Prize in Literature,"“for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions”"
Andrei Sakharov,https://www.nobelprize.org/prizes/peace/1975/sakharov/facts/,1975,The Nobel Peace Prize,"“for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations”"
Leonid Vitaliyevich Kantorovich,https://www.nobelprize.org/prizes/economic-sciences/1975/kantorovich/facts/,1975,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their contributions to the theory of optimum allocation of resources”
Tjalling C. Koopmans,https://www.nobelprize.org/prizes/economic-sciences/1975/koopmans/facts/,1975,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their contributions to the theory of optimum allocation of resources”
Martin Ryle,https://www.nobelprize.org/prizes/physics/1974/ryle/facts/,1974,The Nobel Prize in Physics,"“for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars”"
Antony Hewish,https://www.nobelprize.org/prizes/physics/1974/hewish/facts/,1974,The Nobel Prize in Physics,"“for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars”"
Paul J. Flory,https://www.nobelprize.org/prizes/chemistry/1974/flory/facts/,1974,The Nobel Prize in Chemistry,"“for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules”"
Albert Claude,https://www.nobelprize.org/prizes/medicine/1974/claude/facts/,1974,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the structural and functional organization of the cell”
Christian de Duve,https://www.nobelprize.org/prizes/medicine/1974/duve/facts/,1974,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the structural and functional organization of the cell”
George E. Palade,https://www.nobelprize.org/prizes/medicine/1974/palade/facts/,1974,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the structural and functional organization of the cell”
Eyvind Johnson,https://www.nobelprize.org/prizes/literature/1974/johnson/facts/,1974,The Nobel Prize in Literature,"“for a narrative art, far-seeing in lands and ages, in the service of freedom”"
Harry Martinson,https://www.nobelprize.org/prizes/literature/1974/martinson/facts/,1974,The Nobel Prize in Literature,"“for a narrative art, far-seeing in lands and ages, in the service of freedom”"
Seán MacBride,https://www.nobelprize.org/prizes/peace/1974/macbride/facts/,1974,The Nobel Peace Prize,“for his efforts to secure and develop human rights throughout the world”
Eisaku Sato,https://www.nobelprize.org/prizes/peace/1974/sato/facts/,1974,The Nobel Peace Prize,“for his efforts to secure and develop human rights throughout the world”
Gunnar Myrdal,https://www.nobelprize.org/prizes/economic-sciences/1974/myrdal/facts/,1974,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena”"
Friedrich von Hayek,https://www.nobelprize.org/prizes/economic-sciences/1974/hayek/facts/,1974,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena”"
Leo Esaki,https://www.nobelprize.org/prizes/physics/1973/esaki/facts/,1973,The Nobel Prize in Physics,"“for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively”"
Ivar Giaever,https://www.nobelprize.org/prizes/physics/1973/giaever/facts/,1973,The Nobel Prize in Physics,"“for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively”"
Brian D. Josephson,https://www.nobelprize.org/prizes/physics/1973/josephson/facts/,1973,The Nobel Prize in Physics,"“for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively”"
Ernst Otto Fischer,https://www.nobelprize.org/prizes/chemistry/1973/fischer/facts/,1973,The Nobel Prize in Chemistry,"“for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds”"
Geoffrey Wilkinson,https://www.nobelprize.org/prizes/chemistry/1973/wilkinson/facts/,1973,The Nobel Prize in Chemistry,"“for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds”"
Karl von Frisch,https://www.nobelprize.org/prizes/medicine/1973/frisch/facts/,1973,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning organization and elicitation of individual and social behaviour patterns”
Konrad Lorenz,https://www.nobelprize.org/prizes/medicine/1973/lorenz/facts/,1973,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning organization and elicitation of individual and social behaviour patterns”
Nikolaas Tinbergen,https://www.nobelprize.org/prizes/medicine/1973/tinbergen/facts/,1973,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning organization and elicitation of individual and social behaviour patterns”
Patrick White,https://www.nobelprize.org/prizes/literature/1973/white/facts/,1973,The Nobel Prize in Literature,“for an epic and psychological narrative art which has introduced a new continent into literature”
Henry Kissinger,https://www.nobelprize.org/prizes/peace/1973/kissinger/facts/,1973,The Nobel Peace Prize,“for jointly having negotiated a cease fire in Vietnam in 1973”
Le Duc Tho,https://www.nobelprize.org/prizes/peace/1973/tho/facts/,1973,The Nobel Peace Prize,“for jointly having negotiated a cease fire in Vietnam in 1973”
Wassily Leontief,https://www.nobelprize.org/prizes/economic-sciences/1973/leontief/facts/,1973,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for the development of the input-output method and for its application to important economic problems”
John Bardeen,https://www.nobelprize.org/prizes/physics/1972/bardeen/facts/,1972,The Nobel Prize in Physics,"“for their jointly developed theory of superconductivity, usually called the BCS-theory”"
Leon N. Cooper,https://www.nobelprize.org/prizes/physics/1972/cooper/facts/,1972,The Nobel Prize in Physics,"“for their jointly developed theory of superconductivity, usually called the BCS-theory”"
Robert Schrieffer,https://www.nobelprize.org/prizes/physics/1972/schrieffer/facts/,1972,The Nobel Prize in Physics,"“for their jointly developed theory of superconductivity, usually called the BCS-theory”"
Christian Anfinsen,https://www.nobelprize.org/prizes/chemistry/1972/anfinsen/facts/,1972,The Nobel Prize in Chemistry,"“for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation”"
Stanford Moore,https://www.nobelprize.org/prizes/chemistry/1972/moore/facts/,1972,The Nobel Prize in Chemistry,"“for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation”"
William H. Stein,https://www.nobelprize.org/prizes/chemistry/1972/stein/facts/,1972,The Nobel Prize in Chemistry,"“for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation”"
Gerald M. Edelman,https://www.nobelprize.org/prizes/medicine/1972/edelman/facts/,1972,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the chemical structure of antibodies”
Rodney R. Porter,https://www.nobelprize.org/prizes/medicine/1972/porter/facts/,1972,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the chemical structure of antibodies”
Heinrich Böll,https://www.nobelprize.org/prizes/literature/1972/boll/facts/,1972,The Nobel Prize in Literature,“for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature”
John R. Hicks,https://www.nobelprize.org/prizes/economic-sciences/1972/hicks/facts/,1972,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their pioneering contributions to general economic equilibrium theory and welfare theory”
Kenneth J. Arrow,https://www.nobelprize.org/prizes/economic-sciences/1972/arrow/facts/,1972,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their pioneering contributions to general economic equilibrium theory and welfare theory”
Dennis Gabor,https://www.nobelprize.org/prizes/physics/1971/gabor/facts/,1971,The Nobel Prize in Physics,“for his invention and development of the holographic method”
Gerhard Herzberg,https://www.nobelprize.org/prizes/chemistry/1971/herzberg/facts/,1971,The Nobel Prize in Chemistry,"“for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals”"
"Earl W. Sutherland, Jr.",https://www.nobelprize.org/prizes/medicine/1971/sutherland/facts/,1971,The Nobel Prize in Physiology or Medicine,“for his discoveries concerning the mechanisms of the action of hormones”
Pablo Neruda,https://www.nobelprize.org/prizes/literature/1971/neruda/facts/,1971,The Nobel Prize in Literature,“for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams”
Willy Brandt,https://www.nobelprize.org/prizes/peace/1971/brandt/facts/,1971,The Nobel Peace Prize,“for paving the way for a meaningful dialogue between East and West”
Simon Kuznets,https://www.nobelprize.org/prizes/economic-sciences/1971/kuznets/facts/,1971,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development”
Hannes Alfvén,https://www.nobelprize.org/prizes/physics/1970/alfven/facts/,1970,The Nobel Prize in Physics,“for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics”
Louis Néel,https://www.nobelprize.org/prizes/physics/1970/neel/facts/,1970,The Nobel Prize in Physics,“for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics”
Luis Leloir,https://www.nobelprize.org/prizes/chemistry/1970/leloir/facts/,1970,The Nobel Prize in Chemistry,“for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates”
Sir Bernard Katz,https://www.nobelprize.org/prizes/medicine/1970/katz/facts/,1970,The Nobel Prize in Physiology or Medicine,"“for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation”"
Ulf von Euler,https://www.nobelprize.org/prizes/medicine/1970/euler/facts/,1970,The Nobel Prize in Physiology or Medicine,"“for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation”"
Julius Axelrod,https://www.nobelprize.org/prizes/medicine/1970/axelrod/facts/,1970,The Nobel Prize in Physiology or Medicine,"“for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation”"
Alexandr Solzhenitsyn,https://www.nobelprize.org/prizes/literature/1970/solzhenitsyn/facts/,1970,The Nobel Prize in Literature,“for the ethical force with which he has pursued the indispensable traditions of Russian literature”
Norman Borlaug,https://www.nobelprize.org/prizes/peace/1970/borlaug/facts/,1970,The Nobel Peace Prize,“for having given a well-founded hope - the green revolution”
Paul A. Samuelson,https://www.nobelprize.org/prizes/economic-sciences/1970/samuelson/facts/,1970,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science”
Murray Gell-Mann,https://www.nobelprize.org/prizes/physics/1969/gell-mann/facts/,1969,The Nobel Prize in Physics,“for his contributions and discoveries concerning the classification of elementary particles and their interactions”
Derek Barton,https://www.nobelprize.org/prizes/chemistry/1969/barton/facts/,1969,The Nobel Prize in Chemistry,“for their contributions to the development of the concept of conformation and its application in chemistry”
Odd Hassel,https://www.nobelprize.org/prizes/chemistry/1969/hassel/facts/,1969,The Nobel Prize in Chemistry,“for their contributions to the development of the concept of conformation and its application in chemistry”
Max Delbrück,https://www.nobelprize.org/prizes/medicine/1969/delbruck/facts/,1969,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the replication mechanism and the genetic structure of viruses”
Alfred D. Hershey,https://www.nobelprize.org/prizes/medicine/1969/hershey/facts/,1969,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the replication mechanism and the genetic structure of viruses”
Salvador E. Luria,https://www.nobelprize.org/prizes/medicine/1969/luria/facts/,1969,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the replication mechanism and the genetic structure of viruses”
Samuel Beckett,https://www.nobelprize.org/prizes/literature/1969/beckett/facts/,1969,The Nobel Prize in Literature,"“for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation”"
International Labour Organization,https://www.nobelprize.org/prizes/peace/1969/labour/facts/,1969,The Nobel Peace Prize,“for creating international legislation insuring certain norms for working conditions in every country”
Ragnar Frisch,https://www.nobelprize.org/prizes/economic-sciences/1969/frisch/facts/,1969,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for having developed and applied dynamic models for the analysis of economic processes”
Jan Tinbergen,https://www.nobelprize.org/prizes/economic-sciences/1969/tinbergen/facts/,1969,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for having developed and applied dynamic models for the analysis of economic processes”
Luis Alvarez,https://www.nobelprize.org/prizes/physics/1968/alvarez/facts/,1968,The Nobel Prize in Physics,"“for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis”"
Lars Onsager,https://www.nobelprize.org/prizes/chemistry/1968/onsager/facts/,1968,The Nobel Prize in Chemistry,"“for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes”"
Robert W. Holley,https://www.nobelprize.org/prizes/medicine/1968/holley/facts/,1968,The Nobel Prize in Physiology or Medicine,“for their interpretation of the genetic code and its function in protein synthesis”
H. Gobind Khorana,https://www.nobelprize.org/prizes/medicine/1968/khorana/facts/,1968,The Nobel Prize in Physiology or Medicine,“for their interpretation of the genetic code and its function in protein synthesis”
Marshall W. Nirenberg,https://www.nobelprize.org/prizes/medicine/1968/nirenberg/facts/,1968,The Nobel Prize in Physiology or Medicine,“for their interpretation of the genetic code and its function in protein synthesis”
Yasunari Kawabata,https://www.nobelprize.org/prizes/literature/1968/kawabata/facts/,1968,The Nobel Prize in Literature,"“for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind”"
René Cassin,https://www.nobelprize.org/prizes/peace/1968/cassin/facts/,1968,The Nobel Peace Prize,“for his struggle to ensure the rights of man as stipulated in the UN Declaration”
Hans Bethe,https://www.nobelprize.org/prizes/physics/1967/bethe/facts/,1967,The Nobel Prize in Physics,"“for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars”"
Manfred Eigen,https://www.nobelprize.org/prizes/chemistry/1967/eigen/facts/,1967,The Nobel Prize in Chemistry,"“for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy”"
Ronald G.W. Norrish,https://www.nobelprize.org/prizes/chemistry/1967/norrish/facts/,1967,The Nobel Prize in Chemistry,"“for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy”"
George Porter,https://www.nobelprize.org/prizes/chemistry/1967/porter/facts/,1967,The Nobel Prize in Chemistry,"“for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy”"
Ragnar Granit,https://www.nobelprize.org/prizes/medicine/1967/granit/facts/,1967,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the primary physiological and chemical visual processes in the eye”
Keffer Hartline,https://www.nobelprize.org/prizes/medicine/1967/hartline/facts/,1967,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the primary physiological and chemical visual processes in the eye”
George Wald,https://www.nobelprize.org/prizes/medicine/1967/wald/facts/,1967,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the primary physiological and chemical visual processes in the eye”
Miguel Angel Asturias,https://www.nobelprize.org/prizes/literature/1967/asturias/facts/,1967,The Nobel Prize in Literature,"“for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America”"
Alfred Kastler,https://www.nobelprize.org/prizes/physics/1966/kastler/facts/,1966,The Nobel Prize in Physics,“for the discovery and development of optical methods for studying Hertzian resonances in atoms”
Robert S. Mulliken,https://www.nobelprize.org/prizes/chemistry/1966/mulliken/facts/,1966,The Nobel Prize in Chemistry,“for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method”
Peyton Rous,https://www.nobelprize.org/prizes/medicine/1966/rous/facts/,1966,The Nobel Prize in Physiology or Medicine,“for his discovery of tumour-inducing viruses”
Charles B. Huggins,https://www.nobelprize.org/prizes/medicine/1966/huggins/facts/,1966,The Nobel Prize in Physiology or Medicine,“for his discovery of tumour-inducing viruses”
Shmuel Agnon,https://www.nobelprize.org/prizes/literature/1966/agnon/facts/,1966,The Nobel Prize in Literature,“for his profoundly characteristic narrative art with motifs from the life of the Jewish people”
Nelly Sachs,https://www.nobelprize.org/prizes/literature/1966/sachs/facts/,1966,The Nobel Prize in Literature,“for his profoundly characteristic narrative art with motifs from the life of the Jewish people”
Sin-Itiro Tomonaga,https://www.nobelprize.org/prizes/physics/1965/tomonaga/facts/,1965,The Nobel Prize in Physics,"“for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles”"
Julian Schwinger,https://www.nobelprize.org/prizes/physics/1965/schwinger/facts/,1965,The Nobel Prize in Physics,"“for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles”"
Richard P. Feynman,https://www.nobelprize.org/prizes/physics/1965/feynman/facts/,1965,The Nobel Prize in Physics,"“for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles”"
Robert B. Woodward,https://www.nobelprize.org/prizes/chemistry/1965/woodward/facts/,1965,The Nobel Prize in Chemistry,“for his outstanding achievements in the art of organic synthesis”
François Jacob,https://www.nobelprize.org/prizes/medicine/1965/jacob/facts/,1965,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning genetic control of enzyme and virus synthesis”
André Lwoff,https://www.nobelprize.org/prizes/medicine/1965/lwoff/facts/,1965,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning genetic control of enzyme and virus synthesis”
Jacques Monod,https://www.nobelprize.org/prizes/medicine/1965/monod/facts/,1965,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning genetic control of enzyme and virus synthesis”
Mikhail Sholokhov,https://www.nobelprize.org/prizes/literature/1965/sholokhov/facts/,1965,The Nobel Prize in Literature,"“for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people”"
United Nations Children's Fund,https://www.nobelprize.org/prizes/peace/1965/unicef/facts/,1965,The Nobel Peace Prize,“for its effort to enhance solidarity between nations and reduce the difference between rich and poor states”
Charles H. Townes,https://www.nobelprize.org/prizes/physics/1964/townes/facts/,1964,The Nobel Prize in Physics,"“for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle”"
Nicolay G. Basov,https://www.nobelprize.org/prizes/physics/1964/basov/facts/,1964,The Nobel Prize in Physics,"“for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle”"
Aleksandr M. Prokhorov,https://www.nobelprize.org/prizes/physics/1964/prokhorov/facts/,1964,The Nobel Prize in Physics,"“for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle”"
Dorothy Crowfoot Hodgkin,https://www.nobelprize.org/prizes/chemistry/1964/hodgkin/facts/,1964,The Nobel Prize in Chemistry,“for her determinations by X-ray techniques of the structures of important biochemical substances”
Konrad Bloch,https://www.nobelprize.org/prizes/medicine/1964/bloch/facts/,1964,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism”
Feodor Lynen,https://www.nobelprize.org/prizes/medicine/1964/lynen/facts/,1964,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism”
Jean-Paul Sartre,https://www.nobelprize.org/prizes/literature/1964/sartre/facts/,1964,The Nobel Prize in Literature,"“for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age”"
Martin Luther King Jr.,https://www.nobelprize.org/prizes/peace/1964/king/facts/,1964,The Nobel Peace Prize,“for his non-violent struggle for civil rights for the Afro-American population”
Eugene Wigner,https://www.nobelprize.org/prizes/physics/1963/wigner/facts/,1963,The Nobel Prize in Physics,"“for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles”"
Maria Goeppert Mayer,https://www.nobelprize.org/prizes/physics/1963/mayer/facts/,1963,The Nobel Prize in Physics,"“for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles”"
J. Hans D. Jensen,https://www.nobelprize.org/prizes/physics/1963/jensen/facts/,1963,The Nobel Prize in Physics,"“for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles”"
Karl Ziegler,https://www.nobelprize.org/prizes/chemistry/1963/ziegler/facts/,1963,The Nobel Prize in Chemistry,“for their discoveries in the field of the chemistry and technology of high polymers”
Giulio Natta,https://www.nobelprize.org/prizes/chemistry/1963/natta/facts/,1963,The Nobel Prize in Chemistry,“for their discoveries in the field of the chemistry and technology of high polymers”
Sir John Eccles,https://www.nobelprize.org/prizes/medicine/1963/eccles/facts/,1963,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane”
Alan Hodgkin,https://www.nobelprize.org/prizes/medicine/1963/hodgkin/facts/,1963,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane”
Andrew Huxley,https://www.nobelprize.org/prizes/medicine/1963/huxley/facts/,1963,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane”
Giorgos Seferis,https://www.nobelprize.org/prizes/literature/1963/seferis/facts/,1963,The Nobel Prize in Literature,"“for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture”"
International Committee of the Red Cross,https://www.nobelprize.org/prizes/peace/1963/red-cross/facts/,1963,The Nobel Peace Prize,“for promoting the principles of the Geneva Convention and cooperation with the UN”
League of Red Cross Societies,https://www.nobelprize.org/prizes/peace/1963/red-cross-league/facts/,1963,The Nobel Peace Prize,“for promoting the principles of the Geneva Convention and cooperation with the UN”
Lev Landau,https://www.nobelprize.org/prizes/physics/1962/landau/facts/,1962,The Nobel Prize in Physics,"“for his pioneering theories for condensed matter, especially liquid helium”"
Max F. Perutz,https://www.nobelprize.org/prizes/chemistry/1962/perutz/facts/,1962,The Nobel Prize in Chemistry,“for their studies of the structures of globular proteins”
John C. Kendrew,https://www.nobelprize.org/prizes/chemistry/1962/kendrew/facts/,1962,The Nobel Prize in Chemistry,“for their studies of the structures of globular proteins”
Francis Crick,https://www.nobelprize.org/prizes/medicine/1962/crick/facts/,1962,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material”
James Watson,https://www.nobelprize.org/prizes/medicine/1962/watson/facts/,1962,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material”
Maurice Wilkins,https://www.nobelprize.org/prizes/medicine/1962/wilkins/facts/,1962,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material”
John Steinbeck,https://www.nobelprize.org/prizes/literature/1962/steinbeck/facts/,1962,The Nobel Prize in Literature,"“for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception”"
Linus Pauling,https://www.nobelprize.org/prizes/peace/1962/pauling/facts/,1962,The Nobel Peace Prize,“for his fight against the nuclear arms race between East and West”
Robert Hofstadter,https://www.nobelprize.org/prizes/physics/1961/hofstadter/facts/,1961,The Nobel Prize in Physics,“for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons”
Rudolf Mössbauer,https://www.nobelprize.org/prizes/physics/1961/mossbauer/facts/,1961,The Nobel Prize in Physics,“for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons”
Melvin Calvin,https://www.nobelprize.org/prizes/chemistry/1961/calvin/facts/,1961,The Nobel Prize in Chemistry,“for his research on the carbon dioxide assimilation in plants”
Georg von Békésy,https://www.nobelprize.org/prizes/medicine/1961/bekesy/facts/,1961,The Nobel Prize in Physiology or Medicine,“for his discoveries of the physical mechanism of stimulation within the cochlea”
Ivo Andric,https://www.nobelprize.org/prizes/literature/1961/andric/facts/,1961,The Nobel Prize in Literature,“for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country”
Dag Hammarskjöld,https://www.nobelprize.org/prizes/peace/1961/hammarskjold/facts/,1961,The Nobel Peace Prize,"“for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter”"
